Jeg er i fængslet.	I'm at the prison.
Dette er den bedste ting siden skiveskåret brød! Jeg ved dog ikke hvad den bedste ting var før skiveskåret brød.	This is the best thing since sliced bread! I don't know what the best thing was before sliced bread, however.
De bøger er deres.	Those books are theirs.
Du vil blive straffet.	You will be punished.
Der findes ingen steder på Jorden hvor jeg hellere ville være.	There is nowhere on earth I would rather be.
Dette tastatur er perfekt.	This keyboard is perfect.
Sangen er hendes stærke side.	Singing is her strong point.
Mange amerikanere var vrede over den japanske invasion.	Many Americans were angry about the Japanese invasion.
Hvem er din foretrukne superhelt?	Who's your favorite super hero?
Jeg er dårlig til at svømme.	I'm bad at swimming.
Du er i vejen.	You are in the way.
Jeg gad vide hvorfor.	I wonder why.
Deres forvirring er forståelig.	Their confusion is understandable.
De var i Joes klasse sidste år.	They were in Joe's class last year.
Vi byder dig velkommen i vores klub.	We welcome you to our club.
Tom sagde at han ville ringe i morgen.	Tom said that he'd call tomorrow.
Skriv dit fulde navn.	Write your full name.
Dette er et smukt træ.	This is a beautiful tree.
"Hvornår vil Tom være her?" "Gid jeg vidste det."	"When will Tom get here?" "I really wish I knew."
Det er derfor han blev vred.	That's why he got angry.
Tom ligger på ryggen.	Tom is lying on his back.
Forskere har meddelt at de har opdaget gravitationsbølger.	Scientists have announced that they have discovered gravitational waves.
Han er fattig som en kirkerotte.	He is as poor as a rat.
Ring 119 i tilfælde af brand.	In case of fire, call 119.
Jeg har været i London to gange.	I have been to London twice.
Historien slutter hvor den begyndte.	The story ends where it began.
Jeg ser ham ofte gå en tur i dette område.	I often see him taking a walk in this neighborhood.
David vinder over Goliat i retten.	David defeats Goliath in court.
Hvad foregår der udenfor?	What's going on outside?
"Hvor er hans bog?" "Den er på bordet."	"Where's his book?" "It's on the table."
Det ser ud til at vi er i samme båd.	It seems we are in the same boat.
Opfør dig alderssvarende.	Try to act your age.
Denne dæmning forsyner os med vand og elektricitet.	This dam supplies us with water and electricity.
På et eller andet tidspunkt bliver denne sætning oversat til esperanto.	At some point, this sentence will be translated in Esperanto.
Ser du stjernen?	Do you see the star?
Dine karakterer er bedre end mine.	Your grades are better than mine.
Teenagere siges ofte at have raserende hormoner.	Teenagers are often said to have raging hormones.
Bliv ikke i sengen, med mindre du kan tjene penge i sengen.	Don't stay in bed, unless you can make money in bed.
Det var helt sikkert Toms skyld.	It was definitely Tom's fault.
I hvilken retning vil Syrien udvikle sig efter regimeskiftet?	In which direction will Syria develop after the regime change?
Hvorfor fortalte I mig ikke at I ønskede at tage på campingtur?	Why didn't you tell me that you wanted to go camping?
Jeg vil være til stede på mandag otte dage.	I shall be there on Monday week.
Det lover jeg!	I promise!
Han er praktisk talt en omvandrende ordbog.	He is, so to speak, a walking dictionary.
Hendes måde at snakke på irriterer os.	Her way of speaking irritates us.
Der er en hund ved døren.	There's a dog by the door.
Min ven er sytten år gammel.	My friend is seventeen.
Tom gik den forkerte vej.	Tom went the wrong way.
Det er virkelig pinligt.	This is really embarrassing.
"Automobil" er et blandingsord.	"Automobile" is a hybrid word.
Kunne du venligst fortælle mig hvad klokken er?	Can you tell me the time, please?
Tom er højere end Mary.	Tom is taller than Mary.
Jeg fór vild i skoven.	I lost my way in the woods.
Jeg kan ikke kende forskel på en frø og en tudse.	I can't distinguish a frog from a toad.
Mary barberer benene oftere end Alice.	Mary shaves her legs more often than Alice does.
Hvor mange kalorier er der i den sandwich?	How many calories are there in that sandwich?
Jeg svømmede om eftermiddagen i sommerferien.	I swam in the afternoons during the summer vacation.
Jeg savner bylivets pulserende liv.	I miss the hustle and bustle of city life.
I det mindste er han ærlig.	At least he's honest.
Vi kan ikke hjælpe Tom.	We can't help Tom.
"Jeg forstår det ikke." "Det gør jeg heller ikke."	"I don't understand this" "I don't understand it either."
Jeg måtte gå gennem ild og vand for at få mit kørekort.	I had to go through hell and high water to get my driver's licence.
Elvis Presley lever!	Elvis Presley is alive!
Jeg ved præcis hvor jeg er.	I know exactly where I am.
Jeg har ingen fremtid.	I have no future.
Jeg kender en mand som taler fransk.	I know a man who speaks French.
Hvordan udtales det?	How is that pronounced?
Jeg kan læse dig som en bog.	I can read you like a book.
Ikke røre!	Hands off!
Er dette ikke Toms paraply?	Isn't this Tom's umbrella?
Han var meget fuld.	He was very drunk.
Jeg elsker mine forældre.	I love my parents.
De bryster ser falske ud.	Those boobs look fake.
Græsset må ikke betrædes.	Keep off the grass.
Rødt er ikke mere på mode.	Red is out of fashion.
Snart er det jul.	Christmas is soon.
Millioner af mennesker var arbejdsløse dengang.	Millions of people were unemployed then.
Vi bor i Boston.	We live in Boston.
Hundene, kattene og hestene er dyr.	The dogs, the cats, and the horses are animals.
Jeg er Marys ven, Tom.	I'm Mary's friend, Tom.
Du brækkede din arm.	You broke your arm.
Det er usikkert om han kommer eller ej.	It is uncertain whether he is coming or not.
Hvad er klokken nu?	What's the time now?
Rør ikke den våde maling!	Don't touch the wet paint.
Byen har mange indbyggere.	The city has a large population.
Tom tilskyndede Mary til at købe en hybridbil.	Tom encouraged Mary to buy a hybrid car.
Han syede en kjole til mig.	He sewed a dress for me.
Jeg har aldrig set så mange flotte mænd på ét sted.	I've never seen so many good-looking men in one place.
Tom er overbevist om at Jorden er flad.	Tom is convinced that the earth is flat.
Det er om Andrej Tarkovskijs sidste film.	It's about Andrei Tarkovsky's last film.
De står der og spiser kartoffelchips.	They are standing there and eating potato chips.
Jeg spiser masser af frugt.	I eat a lot of fruit.
Jeg er ikke bange for noget.	I'm not afraid of anything.
Fandt du en anden vej?	Did you find another way?
Er det svært at lære tysk?	Is it hard to learn German?
Tom stillede askebægret foran Mary.	Tom put the ashtray in front of Mary.
Havet er forurenet af bittesmå plastpartikler der er skadelige for havdyr.	The sea is polluted by tiny plastic particles that are harmful to marine animals.
Græd ikke over spildt mælk.	Don't cry over spilt milk.
Alt i alt så var det en hyggelig fest.	All in all, this was a nice party.
Velkommen i cyberspace!	Welcome to Cyberspace!
Mary ønskede at få børn lige med det samme, men Tom sagde at han gerne ville vente.	Mary wanted to have babies right away, but Tom said that he wanted to wait.
Det er et smukt jakkesæt.	That's a beautiful suit.
Hold op med at synge, om jeg må bede.	Please stop singing!
Sover Tom stadig?	Is Tom still sleeping?
Ethvert æble er rødt.	Every apple is red.
Hvad laver du på et sted som dette?	What are you doing in a place like this?
Jeg tror ikke at det kommer til at sne i morgen.	I don't think that it'll snow tomorrow.
Jeg ved det er nemt, men jeg har aldrig gjort det.	I know it's easy, but I've never done it.
Jeg er langsomt begyndt at spekulere på om jeg stadig er ved mine fulde fem.	I'm slowly starting to wonder if I still have all of my marbles.
Du er her!	You're here.
Vi sælger ikke øl.	We don't sell beer.
Jeg føler mig bedre.	I feel better.
Han er en tålmodig mand.	He's a patient man.
Jeg er meget glad for at se dig igen.	I'm very happy to see you again.
Dette hus er berømt.	This house is famous.
Luxembourg er et lille land.	Luxembourg is a small country.
Løven er junglens konge.	The lion is the king of the jungle.
Er det svært at lære græsk?	Is it difficult to learn Greek?
Hvordan går det med din jobsøgning?	How is your job search going?
Tålmodighed er videnskabens moder.	Patience is the mother of science.
Jeg kan ikke svare på så mange spørgsmål på én gang.	I cannot answer so many questions at a time.
Kom i morgen tidlig.	Come tomorrow morning.
Min far er holdt op med at ryge.	My father gave up smoking.
Sagen fik meget spalteplads i aviserne.	The newspapers gave a lot of space to the affair.
Hvor kan jeg købe en børste?	Where can I buy a brush?
Taler du fransk?	Do you speak French?
O.k., I vinder.	OK, you win.
Hvor var I da jeg virkelig havde brug for jeres hjælp?	Where were you when I really needed your help?
Beklager, stillingen er allerede besat.	Sorry, the position has already been filled.
Jeg har hørt den franske version af denne sang.	I've heard the French version of this song.
Kan du åbne det?	Can you open it?
Ellie er meget feminin.	Ellie is very feminine.
Jeg skriver et brev i morgen.	I am going to write a letter tomorrow.
Er der noget du ikke ønsker at tale om?	Is there something that you don't want to talk about?
Han blev fuldstændig frikendt for sigtelsen mod ham.	He was completely cleared of the charge against him.
Jeg er min egen direktør.	I'm my own boss.
Jeg tror Tom taler fransk godt.	I think Tom speaks French well.
Hvor gemmer du dig?	Where are you hiding?
Jeg ser dronningen.	I see the queen.
Hvorfor ler du?	Why are you laughing?
Mary foretrækker fladbrystede kvinder.	Mary prefers flat-chested women.
Tom har brug for professionel hjælp.	Tom needs professional help.
Kender du den gamle dame der bor på tredje etage?	You know this old lady that lives on second floor?
Han kommer fra Wales.	He comes from Wales.
Tro er vished uden beviser.	Faith is certainty without evidence.
Jeg ser tv hver dag.	I watch television every day.
Min nabo er læge.	My neighbour is a doctor.
Han klarer sig godt.	He is doing well.
Har I set hende?	Have you seen her?
Hunden løb efter katten.	The dog ran after the cat.
Jeg identificerer mig med gangsterne i filmen.	I identified myself with the gangsters in the film.
Tom gav Mary nøglerne.	Tom gave Mary the keys.
De har bygget det.	They built it.
Sandt venskab varer for evigt.	True friendships last forever.
Der boede en konge i et gammelt slot.	There lived a king in an old castle.
Tom gik ombord på flyet.	Tom boarded the plane.
Jeg har en ven, hvis far er en kendt pianist.	I have a friend whose father is a famous pianist.
Jeg har et par luffer.	I have a pair of mittens.
Tom satte sig på en tom stol.	Tom sat down on an empty chair.
Er Tom venstrehåndet?	Is Tom left-handed?
Ifølge en landsdækkende meningsmåling i USA er det en udbredt opfattelse at muslimer er forbundet med terrorisme.	It is a prevalent belief, according to a nationwide poll in the United States, that Muslims are linked with terrorism.
Der var intet tilbage i køleskabet.	There was nothing left in the fridge.
Det ser ud til at jeg er kommet her for tidligt.	It looks like I got here too early.
Mary barberer benene oftere end Alice.	Mary shaves her legs more often than Alice shaves hers.
F i det hexadecimale system er lig med 15.	F in hexadecimal is equal to 15.
Toms reaktion var det modsatte af hvad Mary havde forventet.	Tom's reaction was the opposite of what Mary had expected.
Du er for gammel til mig.	You're too old for me.
I har blod på jeres hænder.	You have blood on your hands.
Han oversatte Homer fra græsk til engelsk.	He translated Homer from the Greek into English.
Jeg er en fri mand.	I'm a free man.
Jeg vil virkelig gerne hjælpe dig, men jeg er bundet på hænder og fødder.	I would really like to help you, but my hands are tied.
Der er få tatarisksprogede websteder på internettet.	There are few sites in the Tatar language on the Internet.
Hvor ligger trykket i ordet "Australien"?	Where is the accent on the word 'Australia?'
Du smiler ikke ret tit.	You don't smile very often.
Han tog fejl af datoerne.	He got the date wrong.
De spiser æblerne.	They're eating the apples.
Hygge er et nationalt ikon for os.	Coziness is a national icon for us.
Lad mig se noget ID.	Let me see some ID.
Hvis jeg var en fugl, så kunne jeg flyve hen til dig.	If I were a bird, I could fly to you.
Jeg lærer dem at svømme.	I'm teaching them to swim.
Nancy smiler sjældent.	Nancy seldom smiles.
Uden dig er jeg intet.	Without you, I am nothing.
Hun købte grønsager i går.	She bought vegetables yesterday.
Fortæl os en historie!	Tell us a story!
Når enden er god, er alting godt.	All's well that ends well.
Frikvarteret slutter.	Recess is ending.
Pas på, hunder bider!	Beware of the dog!
Der er meget kaffe tilbage i kanden.	There's a lot of coffee left in the pot.
Hvorfor græder babyen?	Why is the baby crying?
Jeg bliver her indtil han kommer.	I'll stay here until he arrives.
Hun kan ikke elske dig.	She can't love you.
Hvorfor er Tom herude?	Why is Tom out here?
Tom har solgt sit hus.	Tom sold his house.
Jeg taler esperanto.	I speak Esperanto.
Tom havde brug for Mary.	Tom needed Mary.
Tom har været sengeliggende hele ugen.	Tom has been in bed all week.
De var så forskellige.	They were so different.
Tom holdt op med at tale da han så Mary træde ind i rummet.	Tom stopped talking when he saw Mary enter the room.
Du taler ikke fransk, gør du vel?	You don't speak French, do you?
På et tidspunkt vil du indse: Esperanto er uovervindelig.	At some point you will realize: Esperanto is unbeatable.
Jeg har købt dette fotografiapparat for 35000 yen.	I bought this camera for 35,000 yen.
Tom talte til mig på fransk.	Tom spoke to me in French.
København er Danmarks hovedstad.	Copenhagen is the capital of Denmark.
Jeg tager med dig til lufthavnen.	I'll accompany you to the airport.
Det er ikke det samme.	It's not the same thing.
Du kunne have slået nogen ihjel.	You could have killed somebody.
Han begyndte at vaske sin bil.	He started washing his car.
Vær ikke bange for at kritisere Israel.	Don't be afraid of criticizing Israel.
Frederik den Store indførte kartoflen i Preussen.	Frederick the Great introduced the potato to Prussia.
Tom har sandsynligvis allerede en kæreste.	Tom probably has a girlfriend already.
"Er Tom på vores hold?" "Nej, han er på det andet hold."	"Is Tom on our team?" "No, he's on the other team."
Har du nemt ved at huske ansigter?	Do you remember faces easily?
Hvem er han?	Who is he?
Der er noget galt.	There is something wrong.
Kan du huske din nummerplade?	Do you remember your license plate number?
Jeg vil drikke teen.	I will drink the tea.
De bliver gift i morgen.	They are going to get married tomorrow.
Ring til politiet!	Call the police!
Hendes Majestæt venter.	Her Majesty is waiting.
Denne pjece kan fås gratis.	That leaflet can be obtained for free.
Min familie bor i det der hus.	My family live in that house.
Hun er varm på sin lærer.	She has a crush on her teacher.
Jeg kan ikke lide æg.	I don't like eggs.
Dna-prøven frikendte ham for alle anklager.	The DNA test cleared him of all charges.
Alle havde meget travlt.	Everybody was very busy.
Benzin er billig nu.	Gas is cheap now.
Dit navn står først på listen.	Your name is first on the list.
Dette er min mors computer.	This is my mother's computer.
Hun spiser ikke det røde æble.	She doesn't eat the red apple.
Jeg ønsker at besøge Estland.	I want to visit Estonia.
Australien var til at begynde med en britisk straffekoloni.	Australia was started as a British penal colony.
Tom talte stjernerne på himlen.	Tom counted the stars in the sky.
Ok, I vinder.	OK, you win.
Jeg bor i nærheden.	I live nearby.
Hvor han end er, så finder vi ham.	Wherever he is, we shall find him.
Tom var stærkt beruset og var usikker på benene.	Tom was very drunk and was not steady on his feet.
Hænderne op!	Hands up!
Bob er populær i skolen.	Bob is popular at school.
Jeg slog et søm i væggen for at hænge et billede op.	I hammered a nail into the wall in order to hang a painting.
Åh min gud!	Omigod!
Ken har en hvid hund.	Ken has a white dog.
